"","DiveNum","GPS","ObsTime","Collector","Depth_m","Depth_ft","AnemSpp","AnemDia","oldAnemID","AnemID","AnemSampleID","Spp","Size1","Col1","ID1","Size2","Col2","ID2","Size3","Col3","ID3","Size4","Col4","ID4","Size5","Col5","ID5","Size6","Col6","ID6","Size7","Col7","ID7","Spp2","Spp2Size1","Spp2Size2","Spp2Size3","Spp2Size4","Notes","NumFish","Sizes","lat","lon","Date","Name","Municipality","Cover"
"16",4,3,"10:40:00","MRS",3.3,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.8744838648,124.7105750721,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"17",4,3,"10:40:00","MRS",3.3,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.8744838648,124.7105750721,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"18",4,3,"10:44:00","MRS",3.4,NA,"HECR",40,NA,2002,NA,"APCL",9.1,"O",371588,4,"YR","",3,"",NA,10.3,"",373375,NA,"",NA,NA,"",NA,"","","","APPE",3,NA,NA,NA,"",4,"9.1,4,3,10.3,",10.8743991237,124.7105803527,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"19",4,3,"10:45:00","MRS",3.4,NA,"HECR",25,NA,NA,NA,"APPE",10,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"10,",10.874400381,124.7105672769,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"20",4,3,"10:51:00","MRS",3,NA,"HECR",45,NA,NA,NA,"APPE",8,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"8,",10.8744004648,124.7105784249,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"21",4,3,"10:53:00","MRS",3,NA,"HECR",NA,NA,965,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.8744106069,124.7105947696,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"22",4,3,"10:54:00","MRS",3,NA,"HECR",40,NA,NA,NA,"APPE",3,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"3,",10.8743981179,124.7105469089,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"23",4,3,"10:54:00","MRS",3,NA,"HECR",40,NA,NA,NA,"APPE",3,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"3,",10.8743981179,124.7105469089,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"24",4,3,"10:55:00","MRS",3.4,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"10,",10.8743254468,124.7106484137,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"25",4,3,"10:59:00","MRS",3.9,NA,"HECR",30,NA,1029,NA,"APCL",9.3,"O",375516,3,"YR","",5,"YR",NA,3,"",NA,3.4,"",NA,5.8,"YR",375642,"","","","APPE",3,NA,NA,NA,"",6,"9.3,3,5,3,3.4,5.8,",10.8743057493,124.7106091026,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"26",4,3,"11:05:00","MRS",3.8,NA,"HECR",35,NA,1028,NA,"APCL",9.3,"YP",375267,7.4,"O","374004",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"9.3,7.4,",10.8742770832,124.7106563766,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"27",4,3,"11:07:00","MRS",4,NA,"HECR",30,NA,1027,NA,"APCL",4.5,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"4.5,",10.874266522,124.7106697038,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"28",4,3,"11:08:00","MRS",4,NA,"HECR",30,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.8741862234,124.7106947657,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"29",4,3,"11:08:00","MRS",4,NA,"HECR",30,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.8741862234,124.7106947657,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"30",4,3,"11:12:00","MRS",3.5,NA,"HECR",40,NA,2003,NA,"APCL",6.8,"YP",371511,3,"","",3.5,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",3,"6.8,3,3.5,",10.8740897477,124.7106869705,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"31",4,3,"11:13:00","MRS",4,NA,"HECR",30,NA,492,NA,"APCL",4,"Y",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","APPE",4,3,NA,NA,"",1,"4,",10.8740992192,124.7107012197,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"32",4,3,"11:14:00","MRS",4,NA,"HECR",15,NA,2004,NA,"APCL",4,"WR",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"4,",10.87410626,124.7107306402,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"33",4,3,"11:16:00","MRS",3.4,NA,"ENQD",30,NA,493,NA,"APFR",10,"",NA,6,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,6,",10.8741398714,124.7107427102,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"34",4,3,"11:24:00","MRS",3.2,NA,"HECR",25,NA,1033,NA,"APCL",2,"Y",NA,4,"Y","",7.9,"O",371354,8.8,"O",375493,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",4,"2,4,7.9,8.8,",10.8741190843,124.7107557021,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"35",4,3,"11:34:00","MRS",3.7,NA,"ENQD",35,NA,2005,NA,"APCL",9.7,"O",376294,10.1,"Y","370935",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"The 10cm fish got away without being caught but was caught during dive 5",2,"9.7,10.1,",10.8741723932,124.7107436322,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"36",4,3,"11:44:00","MRS",4,NA,"HECR",40,NA,2006,NA,"APCL",9.1,"O",374415,9.2,"YP","374151",4,"Y",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","APPE",3,NA,NA,NA,"",3,"9.1,9.2,4,",10.8740273025,124.7106536943,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"37",4,3,"11:48:00","MRS",4.6,NA,"HECR",40,NA,487,NA,"APPE",10,"",NA,7,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,7,",10.8739009872,124.7105135489,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"38",4,3,"11:49:00","MRS",4.7,NA,"HECR",35,NA,946,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.873899227,124.7105140518,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"39",4,3,"11:53:00","MRS",5,NA,"????",NA,NA,2007,NA,"APCL",9,"O",374395,9,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"Gerry put the anemone tag near a crevice, I'm guessing he saw an anemone in there but I couldn't see one, there was another large fish that got away",2,"9,9,",10.8738242928,124.7104590666,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"40",4,3,"11:57:00","MRS",3.7,NA,"HECR",40,NA,NA,NA,"APCL",4,"Y",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"4,",10.8738549706,124.7105768323,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"41",4,3,"11:58:00","MRS",3.6,NA,"HECR",40,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.873776935,124.710654784,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"42",4,3,"12:00:00","MRS",5.1,NA,"HECR",25,NA,257,NA,"APCL",4,"YR",NA,5.8,"Y","370891",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"4,5.8,",10.8736954629,124.7107614018,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"43",4,3,"12:06:00","MRS",5.2,NA,"HECR",20,NA,NA,NA,"APCL",4.5,"W",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"4.5,",10.8737102989,124.7108183149,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"44",4,3,"12:10:00","MRS",4,NA,"HECR",15,NA,2008,NA,"APCL",8.9,"O",374248,4.5,"","",2,"",NA,2.5,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",4,"8.9,4.5,2,2.5,",10.8737765998,124.71090951,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
